district_no,district_name,district_name_french,party_affiliation,party_affiliation_french,last_name,first_name,middle_initial,votes_for
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,Green Party of Canada,Le Parti Vert du Canada,Poitras,Casandra,,
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,Conservative Party of Canada,Parti conservateur du Canada,Sedlak,John,,
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,Bloc Québécois,Bloc Québécois,Trudel,Denis,,
24044,Louis-Hébert,Louis-Hébert,Conservative Party of Canada,Parti conservateur du Canada,Asselin,Jean-Pierre,,
24044,Louis-Hébert,Louis-Hébert,Green Party of Canada,Le Parti Vert du Canada,Beaudoin-Julien,Andrée-Anne,,
24044,Louis-Hébert,Louis-Hébert,New Democratic Party,Nouveau Parti démocratique,Blanchette,Denis,,
24044,Louis-Hébert,Louis-Hébert,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Jetchick,Stefan,,
24044,Louis-Hébert,Louis-Hébert,Liberal Party of Canada,Parti libéral du Canada,Lightbound,Joël,,
24044,Louis-Hébert,Louis-Hébert,Bloc Québécois,Bloc Québécois,Pageau,Caroline,,
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,New Democratic Party,Nouveau Parti démocratique,Caron,G. Daniel,,
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,Conservative Party of Canada,Parti conservateur du Canada,Deltell,Gérard,,
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,Liberal Party of Canada,Parti libéral du Canada,Rousseau,Youri,,
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,Green Party of Canada,Le Parti Vert du Canada,Savard,Michel,,
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,Bloc Québécois,Bloc Québécois,Sirard,Ronald,,
24046,Manicouagan,Manicouagan,Conservative Party of Canada,Parti conservateur du Canada,Boudreau,Yvon,,
24046,Manicouagan,Manicouagan,New Democratic Party,Nouveau Parti démocratique,Genest-Jourdain,Jonathan,,
24046,Manicouagan,Manicouagan,Bloc Québécois,Bloc Québécois,Gill,Marilène,,
24046,Manicouagan,Manicouagan,Green Party of Canada,Le Parti Vert du Canada,Grills,Nathan,,
24046,Manicouagan,Manicouagan,Liberal Party of Canada,Parti libéral du Canada,Tremblay,Mario,,
24047,Mégantic--L'Érable,Mégantic--L'Érable,Liberal Party of Canada,Parti libéral du Canada,Berthiaume,David,,
24047,Mégantic--L'Érable,Mégantic--L'Érable,Conservative Party of Canada,Parti conservateur du Canada,Berthold,Luc,,
24047,Mégantic--L'Érable,Mégantic--L'Érable,New Democratic Party,Nouveau Parti démocratique,Delisle,Jean-François,,
24047,Mégantic--L'Érable,Mégantic--L'Érable,Green Party of Canada,Le Parti Vert du Canada,Gervais,Justin,,
24047,Mégantic--L'Érable,Mégantic--L'Érable,Bloc Québécois,Bloc Québécois,Provost,Virginie,,
24048,Mirabel,Mirabel,Conservative Party of Canada,Parti conservateur du Canada,Ferguson,Gordon,,
24048,Mirabel,Mirabel,New Democratic Party,Nouveau Parti démocratique,Freeman,Mylène,,
24048,Mirabel,Mirabel,Green Party of Canada,Le Parti Vert du Canada,Gifford,Jocelyn,,
24048,Mirabel,Mirabel,Bloc Québécois,Bloc Québécois,Marcil,Simon,,
24048,Mirabel,Mirabel,Liberal Party of Canada,Parti libéral du Canada,Trudel,Karl,,
24049,Montarville,Montarville,Green Party of Canada,Le Parti Vert du Canada,Adam,Olivier,,
24049,Montarville,Montarville,Conservative Party of Canada,Parti conservateur du Canada,Duranleau,Stéphane,,
24049,Montarville,Montarville,Bloc Québécois,Bloc Québécois,Fournier,Catherine,,
24049,Montarville,Montarville,Libertarian Party of Canada,Parti Libertarien du Canada,Leclair,Claude,,
24049,Montarville,Montarville,Liberal Party of Canada,Parti libéral du Canada,Picard,Michel,,
24049,Montarville,Montarville,New Democratic Party,Nouveau Parti démocratique,Sellah,Djaouida,,
24050,Montcalm,Montcalm,Green Party of Canada,Le Parti Vert du Canada,Ang,Yumi Yow Mei,,
24050,Montcalm,Montcalm,Conservative Party of Canada,Parti conservateur du Canada,DesRoches,Gisèle,,
24050,Montcalm,Montcalm,New Democratic Party,Nouveau Parti démocratique,Leclerc,Martin,,
24050,Montcalm,Montcalm,Forces et Démocratie,Forces et Démocratie,Perreault,Manon,,
24050,Montcalm,Montcalm,Bloc Québécois,Bloc Québécois,Thériault,Luc,,
24050,Montcalm,Montcalm,Liberal Party of Canada,Parti libéral du Canada,Thouin,Louis-Charles,,
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Green Party of Canada,Le Parti Vert du Canada,Breton,Chantal,,
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Rhinoceros Party,Parti Rhinocéros,Gagné,Bien Gras,,
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Bloc Québécois,Bloc Québécois,Gagnon,Louis,,
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Conservative Party of Canada,Parti conservateur du Canada,Généreux,Bernard,,
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,New Democratic Party,Nouveau Parti démocratique,Lapointe,François,,
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Liberal Party of Canada,Parti libéral du Canada,Normand,Marie-Josée,,
24052,Mount Royal,Mont-Royal,Bloc Québécois,Bloc Québécois,Bossé Bélanger,Jade,,
24052,Mount Royal,Mont-Royal,Liberal Party of Canada,Parti libéral du Canada,Housefather,Anthony,,
24052,Mount Royal,Mont-Royal,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Johnston,Diane,,
24052,Mount Royal,Mont-Royal,Green Party of Canada,Le Parti Vert du Canada,Landry,Timothy,,
24052,Mount Royal,Mont-Royal,Conservative Party of Canada,Parti conservateur du Canada,Libman,Robert,,
24052,Mount Royal,Mont-Royal,New Democratic Party,Nouveau Parti démocratique,Rimbao,Mario Jacinto,,
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,Independent,Indépendant,Cahn,Lisa Julie,,
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,Liberal Party of Canada,Parti libéral du Canada,Garneau,Marc,,
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Hoffman,Rachel,,
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,New Democratic Party,Nouveau Parti démocratique,Hughes,James,,
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,Bloc Québécois,Bloc Québécois,Quesnel,Simon,,
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,Conservative Party of Canada,Parti conservateur du Canada,Sagala,Richard,,
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,Green Party of Canada,Le Parti Vert du Canada,Wheeler,Melissa Kate,,
24054,Outremont,Outremont,Liberal Party of Canada,Parti libéral du Canada,Bendayan,Rachel,,
24054,Outremont,Outremont,Green Party of Canada,Le Parti Vert du Canada,Diallo,Amara,,
24054,Outremont,Outremont,Bloc Québécois,Bloc Québécois,Galland Barou,Roger,,
24054,Outremont,Outremont,Conservative Party of Canada,Parti conservateur du Canada,Husny,Rodolphe,,
24054,Outremont,Outremont,New Democratic Party,Nouveau Parti démocratique,Mulcair,Tom,,
24054,Outremont,Outremont,Libertarian Party of Canada,Parti Libertarien du Canada,Pouliot,Francis,,
24054,Outremont,Outremont,Communist Party of Canada,Parti communiste du Canada,Welsh,Adrien,,
24055,Papineau,Papineau,No Affiliation,Aucune appartenance,Bernardo,Beverly,,
24055,Papineau,Papineau,Bloc Québécois,Bloc Québécois,Claveau,Maxime,,
24055,Papineau,Papineau,Rhinoceros Party,Parti Rhinocéros,Gaudet,Tommy,,
24055,Papineau,Papineau,New Democratic Party,Nouveau Parti démocratique,Lagacé Dowson,Anne,,
24055,Papineau,Papineau,Independent,Indépendant,Lloyd,Chris,,
24055,Papineau,Papineau,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Macrisopoulos,Peter,,
24055,Papineau,Papineau,Green Party of Canada,Le Parti Vert du Canada,Polifroni,Danny,,
24055,Papineau,Papineau,Liberal Party of Canada,Parti libéral du Canada,Trudeau,Justin,,
24055,Papineau,Papineau,Conservative Party of Canada,Parti conservateur du Canada,Vadnais,Yvon,,
24055,Papineau,Papineau,Independent,Indépendant,Waldron,Kim,,
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,Conservative Party of Canada,Parti conservateur du Canada,Assouline,Valérie,,
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,Liberal Party of Canada,Parti libéral du Canada,Baylis,Frank,,
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,New Democratic Party,Nouveau Parti démocratique,Blanchette-Lamothe,Lysane,,
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,Bloc Québécois,Bloc Québécois,Laplante,Natalie,,
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,Green Party of Canada,Le Parti Vert du Canada,Weizfeld,Abraham,,
24057,Pontiac,Pontiac,Liberal Party of Canada,Parti libéral du Canada,Amos,William,,
24057,Pontiac,Pontiac,Green Party of Canada,Le Parti Vert du Canada,Griffiths,Colin,,
24057,Pontiac,Pontiac,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Lang,Louis,,
24057,Pontiac,Pontiac,Bloc Québécois,Bloc Québécois,Lepage,Nicolas,,
24057,Pontiac,Pontiac,Forces et Démocratie,Forces et Démocratie,Médieu,Pascal,,
24057,Pontiac,Pontiac,New Democratic Party,Nouveau Parti démocratique,Ravignat,Mathieu,,
24057,Pontiac,Pontiac,Conservative Party of Canada,Parti conservateur du Canada,Woodman,Benjamin,,
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Liberal Party of Canada,Parti libéral du Canada,Gauvin,David,,
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Conservative Party of Canada,Parti conservateur du Canada,Godin,Joël,,
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Bloc Québécois,Bloc Québécois,Harvey,Raymond,,
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,New Democratic Party,Nouveau Parti démocratique,Michaud,Élaine,,
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Green Party of Canada,Le Parti Vert du Canada,Morin,Johanne,,
24059,Québec,Québec,Conservative Party of Canada,Parti conservateur du Canada,Asselin,Pierre-Thomas,,
24059,Québec,Québec,Liberal Party of Canada,Parti libéral du Canada,Duclos,Jean-Yves,,
24059,Québec,Québec,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Fournier,Normand,,
24059,Québec,Québec,Bloc Québécois,Bloc Québécois,Mordret,Charles,,
24059,Québec,Québec,New Democratic Party,Nouveau Parti démocratique,Papillon,Annick,,
24059,Québec,Québec,Forces et Démocratie,Forces et Démocratie,Provost,Danielle,,
24059,Québec,Québec,Green Party of Canada,Le Parti Vert du Canada,Riboty,Philippe,,
24060,Repentigny,Repentigny,New Democratic Party,Nouveau Parti démocratique,Bellemare,Réjean,,
24060,Repentigny,Repentigny,Forces et Démocratie,Forces et Démocratie,Cloutier,Johnathan,,
24060,Repentigny,Repentigny,Liberal Party of Canada,Parti libéral du Canada,Dudas,Adriana,,
24060,Repentigny,Repentigny,Green Party of Canada,Le Parti Vert du Canada,Gilbert,Yoland,,
24060,Repentigny,Repentigny,Conservative Party of Canada,Parti conservateur du Canada,Lefebvre,Jonathan,,
24060,Repentigny,Repentigny,Bloc Québécois,Bloc Québécois,Pauzé,Monique,,
24061,Richmond--Arthabaska,Richmond--Arthabaska,New Democratic Party,Nouveau Parti démocratique,Beaulieu,Myriam,,
24061,Richmond--Arthabaska,Richmond--Arthabaska,Green Party of Canada,Le Parti Vert du Canada,Busque,Laurier,,
24061,Richmond--Arthabaska,Richmond--Arthabaska,Liberal Party of Canada,Parti libéral du Canada,Desmarais,Marc,,
24061,Richmond--Arthabaska,Richmond--Arthabaska,Rhinoceros Party,Parti Rhinocéros,Dubois,Antoine,,
24061,Richmond--Arthabaska,Richmond--Arthabaska,Bloc Québécois,Bloc Québécois,Nolin,Olivier,,
24061,Richmond--Arthabaska,Richmond--Arthabaska,Conservative Party of Canada,Parti conservateur du Canada,Rayes,Alain,,
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Conservative Party of Canada,Parti conservateur du Canada,Gauthier,Érick,,
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Liberal Party of Canada,Parti libéral du Canada,Lapointe,Linda,,
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,New Democratic Party,Nouveau Parti démocratique,Liu,Laurin,,
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Bloc Québécois,Bloc Québécois,Pinel,Félix,,
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Independent,Indépendant,Quinteros,Luis,,
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Green Party of Canada,Le Parti Vert du Canada,Ware,Alec,,
24063,Rivière-du-Nord,Rivière-du-Nord,Liberal Party of Canada,Parti libéral du Canada,Bélair Rolland,Janice,,
24063,Rivière-du-Nord,Rivière-du-Nord,Rhinoceros Party,Parti Rhinocéros,Côté,Fobozof A.,,
24063,Rivière-du-Nord,Rivière-du-Nord,New Democratic Party,Nouveau Parti démocratique,Dionne Labelle,Pierre,,
24063,Rivière-du-Nord,Rivière-du-Nord,Bloc Québécois,Bloc Québécois,Fortin,Rhéal,,
24063,Rivière-du-Nord,Rivière-du-Nord,Green Party of Canada,Le Parti Vert du Canada,Leckman,Joey,,
24063,Rivière-du-Nord,Rivière-du-Nord,Conservative Party of Canada,Parti conservateur du Canada,Vignol,Romain,,
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Rhinoceros Party,Parti Rhinocéros,Aglat,Laurent,,
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Bloc Québécois,Bloc Québécois,André,Claude,,
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,New Democratic Party,Nouveau Parti démocratique,Boulerice,Alexandre,,
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Chénier,Stéphane,,
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Libertarian Party of Canada,Parti Libertarien du Canada,d'Entremont,Peter,,
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Conservative Party of Canada,Parti conservateur du Canada,Dohan,Jeremy,,
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Liberal Party of Canada,Parti libéral du Canada,Medawar,Nadine,,
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Green Party of Canada,Le Parti Vert du Canada,Muldeen,Sameer,,
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Bloc Québécois,Bloc Québécois,Jasmin-Tremblay,Patrice,,
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,New Democratic Party,Nouveau Parti démocratique,Lemieux,Marie-Josée,,
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Conservative Party of Canada,Parti conservateur du Canada,Makridis,Nicolas,,
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Green Party of Canada,Le Parti Vert du Canada,Mungur,Lorna,,
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Liberal Party of Canada,Parti libéral du Canada,Robillard,Yves,,
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Green Party of Canada,Le Parti Vert du Canada,Durand,Lise,,
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Bloc Québécois,Bloc Québécois,Filion,Michel,,
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Conservative Party of Canada,Parti conservateur du Canada,Léveillé,Réjean,,
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Independent,Indépendant,Ménard,Ugo,,
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,New Democratic Party,Nouveau Parti démocratique,Sansoucy,Brigitte,,
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Liberal Party of Canada,Parti libéral du Canada,Vincelette,René,,
24067,Saint-Jean,Saint-Jean,Conservative Party of Canada,Parti conservateur du Canada,Guinta,Stéphane,,
24067,Saint-Jean,Saint-Jean,Bloc Québécois,Bloc Québécois,Hurtubise,Denis,,
24067,Saint-Jean,Saint-Jean,New Democratic Party,Nouveau Parti démocratique,Marotte,Hans,,
24067,Saint-Jean,Saint-Jean,Green Party of Canada,Le Parti Vert du Canada,Redivo,Marilyn,,
24067,Saint-Jean,Saint-Jean,Liberal Party of Canada,Parti libéral du Canada,Rioux,Jean,,
24068,Saint-Laurent,Saint-Laurent,New Democratic Party,Nouveau Parti démocratique,Ackad,Alain,,
24068,Saint-Laurent,Saint-Laurent,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Deschamps,Fernand,,
24068,Saint-Laurent,Saint-Laurent,Liberal Party of Canada,Parti libéral du Canada,Dion,Stéphane,,
24068,Saint-Laurent,Saint-Laurent,Bloc Québécois,Bloc Québécois,Dumas-Dubreuil,Pascal-Olivier,,
24068,Saint-Laurent,Saint-Laurent,Green Party of Canada,Le Parti Vert du Canada,Tromp,John,,
24068,Saint-Laurent,Saint-Laurent,Conservative Party of Canada,Parti conservateur du Canada,Yu,Jimmy,,
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Liberal Party of Canada,Parti libéral du Canada,Di Iorio,Nicola,,
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,New Democratic Party,Nouveau Parti démocratique,Filato,Rosannie,,
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Conservative Party of Canada,Parti conservateur du Canada,Fournier,Jean Philippe,,
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Bloc Québécois,Bloc Québécois,Gendron,Steeve,,
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Malek,Arezki,,
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Green Party of Canada,Le Parti Vert du Canada,Miscione,Melissa,,
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Bédard,Jean-Paul,,
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Bloc Québécois,Bloc Québécois,Carignan Deschamps,Sacki,,
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Liberal Party of Canada,Parti libéral du Canada,Champagne,François-Philippe,,
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Conservative Party of Canada,Parti conservateur du Canada,Grenier,Jacques,,
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Green Party of Canada,Le Parti Vert du Canada,Toupin,Martial,,
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,New Democratic Party,Nouveau Parti démocratique,Tremblay,Jean-Yves,,
24071,Salaberry--Suroît,Salaberry--Suroît,Bloc Québécois,Bloc Québécois,DeBellefeuille,Claude,,
24071,Salaberry--Suroît,Salaberry--Suroît,Conservative Party of Canada,Parti conservateur du Canada,De Martin,Albert,,
24071,Salaberry--Suroît,Salaberry--Suroît,Forces et Démocratie,Forces et Démocratie,Domingos,Patricia,,
24071,Salaberry--Suroît,Salaberry--Suroît,Independent,Indépendant,Larocque,Sylvain,,
24071,Salaberry--Suroît,Salaberry--Suroît,New Democratic Party,Nouveau Parti démocratique,Quach,Anne Minh-Thu,,
24071,Salaberry--Suroît,Salaberry--Suroît,Liberal Party of Canada,Parti libéral du Canada,Sauvé,Robert,,
24071,Salaberry--Suroît,Salaberry--Suroît,Green Party of Canada,Le Parti Vert du Canada,Socrates,Nicola-Silverado,,
24072,Shefford,Shefford,Bloc Québécois,Bloc Québécois,Beaudoin,Jocelyn,,
24072,Shefford,Shefford,Liberal Party of Canada,Parti libéral du Canada,Breton,Pierre,,
24072,Shefford,Shefford,Conservative Party of Canada,Parti conservateur du Canada,Fontaine,Sylvie,,
24072,Shefford,Shefford,New Democratic Party,Nouveau Parti démocratique,Mailhot,Claire,,
24072,Shefford,Shefford,Green Party of Canada,Le Parti Vert du Canada,McMillan,Simon,,
24073,Sherbrooke,Sherbrooke,Liberal Party of Canada,Parti libéral du Canada,Allen,Thomas ''Tom'',,
24073,Sherbrooke,Sherbrooke,Bloc Québécois,Bloc Québécois,Bouchard,Caroline,,
24073,Sherbrooke,Sherbrooke,Conservative Party of Canada,Parti conservateur du Canada,Dauphin,Marc,,
24073,Sherbrooke,Sherbrooke,New Democratic Party,Nouveau Parti démocratique,Dusseault,Pierre-Luc,,
24073,Sherbrooke,Sherbrooke,Independent,Indépendant,Huberdeau,Benoit,,
24073,Sherbrooke,Sherbrooke,Green Party of Canada,Le Parti Vert du Canada,Malouin,Sophie,,
24073,Sherbrooke,Sherbrooke,Rhinoceros Party,Parti Rhinocéros,Richard,Hubert,,
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges,Conservative Party of Canada,Parti conservateur du Canada,Boudreau,Marc,,
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges,Bloc Québécois,Bloc Québécois,François,Vincent,,
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges,Green Party of Canada,Le Parti Vert du Canada,Kaszel,Jennifer,,
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges,New Democratic Party,Nouveau Parti démocratique,Nicholls,Jamie,,
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges,Liberal Party of Canada,Parti libéral du Canada,Schiefke,Peter,,
24075,Terrebonne,Terrebonne,Liberal Party of Canada,Parti libéral du Canada,Audette,Michèle,,
24075,Terrebonne,Terrebonne,New Democratic Party,Nouveau Parti démocratique,Borg,Charmaine,,
24075,Terrebonne,Terrebonne,Bloc Québécois,Bloc Québécois,Boudrias,Michel,,
24075,Terrebonne,Terrebonne,Green Party of Canada,Le Parti Vert du Canada,Moen,Susan,,
24075,Terrebonne,Terrebonne,Forces et Démocratie,Forces et Démocratie,Sénat,Louis Clément,,
24075,Terrebonne,Terrebonne,Conservative Party of Canada,Parti conservateur du Canada,Surprenant,Michel,,
24076,Trois-Rivières,Trois-Rivières,New Democratic Party,Nouveau Parti démocratique,Aubin,Robert,,
24076,Trois-Rivières,Trois-Rivières,Liberal Party of Canada,Parti libéral du Canada,Boivin,Yvon,,
24076,Trois-Rivières,Trois-Rivières,Libertarian Party of Canada,Parti Libertarien du Canada,Rousseau,Maxime,,
24076,Trois-Rivières,Trois-Rivières,Conservative Party of Canada,Parti conservateur du Canada,Therrien,Dominic,,
24076,Trois-Rivières,Trois-Rivières,Green Party of Canada,Le Parti Vert du Canada,Trottier,Éric,,
24076,Trois-Rivières,Trois-Rivières,Bloc Québécois,Bloc Québécois,Valois,André,,
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Green Party of Canada,Le Parti Vert du Canada,Green,Daniel,,
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Liberal Party of Canada,Parti libéral du Canada,Miller,Marc,,
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Conservative Party of Canada,Parti conservateur du Canada,Shanahan,Steve,,
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Communist Party of Canada,Parti communiste du Canada,Sloan,William,,
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Bloc Québécois,Bloc Québécois,St-Onge,Chantal,,
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,New Democratic Party,Nouveau Parti démocratique,Turner,Allison,,
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Rhinoceros Party,Parti Rhinocéros,Wolfe,Daniel,,
24078,Vimy,Vimy,New Democratic Party,Nouveau Parti démocratique,Duhamel,France,,
24078,Vimy,Vimy,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Jenkins,Brian,,
24078,Vimy,Vimy,Bloc Québécois,Bloc Québécois,Kaddouri,Barek,,
24078,Vimy,Vimy,Conservative Party of Canada,Parti conservateur du Canada,Mavros,Anthony,,
24078,Vimy,Vimy,Liberal Party of Canada,Parti libéral du Canada,Nassif,Eva,,
24078,Vimy,Vimy,Green Party of Canada,Le Parti Vert du Canada,Núñez Melo,José,,
35001,Ajax,Ajax,Conservative Party of Canada,Parti conservateur du Canada,Alexander,Chris,,
35001,Ajax,Ajax,New Democratic Party,Nouveau Parti démocratique,Brown,Stephanie,,
35001,Ajax,Ajax,Green Party of Canada,Le Parti Vert du Canada,Hill,Jeff,,
35001,Ajax,Ajax,Liberal Party of Canada,Parti libéral du Canada,Holland,Mark,,
35001,Ajax,Ajax,United Party of Canada,Parti Uni du Canada,Kesic,Bob,,
35002,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,New Democratic Party,Nouveau Parti démocratique,Hughes,Carol,,
35002,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,Green Party of Canada,Le Parti Vert du Canada,Orok,Calvin John,,
35002,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,Conservative Party of Canada,Parti conservateur du Canada,Robichaud,André,,
35002,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,Liberal Party of Canada,Parti libéral du Canada,Wilson,Heather,,
35003,Aurora--Oak Ridges--Richmond Hill,Aurora--Oak Ridges--Richmond Hill,Liberal Party of Canada,Parti libéral du Canada,Alleslev,Leona,,
35003,Aurora--Oak Ridges--Richmond Hill,Aurora--Oak Ridges--Richmond Hill,Animal Alliance Environment Voters Party of Canada,Animal Alliance Environment Voters Party of Canada,Bowles,Kyle,,
35003,Aurora--Oak Ridges--Richmond Hill,Aurora--Oak Ridges--Richmond Hill,Conservative Party of Canada,Parti conservateur du Canada,Menegakis,Costas,,
35003,Aurora--Oak Ridges--Richmond Hill,Aurora--Oak Ridges--Richmond Hill,New Democratic Party,Nouveau Parti démocratique,Power,Brenda,,
35003,Aurora--Oak Ridges--Richmond Hill,Aurora--Oak Ridges--Richmond Hill,Green Party of Canada,Le Parti Vert du Canada,Ramdeen,Randi,,
35004,Barrie--Innisfil,Barrie--Innisfil,Conservative Party of Canada,Parti conservateur du Canada,Brassard,John,,
35004,Barrie--Innisfil,Barrie--Innisfil,New Democratic Party,Nouveau Parti démocratique,Clark,Myrna,,
